"username","xp","time_played","kills","deaths","kill_streak","targets_destroyed","vehicles_destroyed","soldiers_healed","team_kills","distance_moved","shots_fired","throwables_thrown"
"N4P4LM",347171,27823,71644,13732,133,574,414,507,517,2101000,1432435,7136
"ANDEXA",347045,20108,52387,2545,520,294,276,269,425,1497600,819834,4242
"GIRIDIUS",347040,20377,67627,6020,724,681,307,35,564,1792100,1260716,1950
"JAMESTCJUGGALO",345093,10201,31596,1104,523,514,441,205,776,723400,577375,901
"JUANHOOPOLIO",341770,17304,47164,4460,777,362,454,74,533,861100,980065,3099
"CYPRESS_BLADE",340323,19109,66016,3912,481,789,480,92,385,1808700,1190206,2182
"NICOLO",339005,31299,39789,8083,305,1406,1488,276,3099,2100000,908718,6330
"TOFUMAN",338818,10610,26626,1190,319,863,442,25,812,797000,270405,3248
"MALICK",335637,13246,49873,1241,573,492,377,172,1009,1028500,1081448,2523
"KRAISER",335184,22261,64483,7537,225,376,261,373,937,2100000,1282477,4726
"NONEJ",334758,24829,48415,5329,571,687,483,278,913,1930600,591629,4109
"KEDDNEX",331654,22066,67549,3110,494,618,940,72,651,2097200,696200,2335
"POMMY",331302,14317,35574,1889,254,796,600,362,1194,1353000,524977,3892
"SAVRUL",329528,28002,48006,2418,230,531,355,639,1220,1938500,1480021,3730
"SPARTAN4125",326708,28803,62248,9315,176,287,380,1080,319,2105600,777237,11417
"NUELEN",323889,19086,48282,5180,519,704,435,97,778,1402800,635062,3579
"WYZZ",321238,14287,35096,2097,533,482,313,104,832,951500,653568,5079
"SCHLEUDERER",319010,16611,51801,1181,333,195,583,620,188,1559300,759321,2890
"CLIVERED",318133,17452,40343,4805,225,668,292,54,1034,1471100,728894,3285
"TANGODELTA12",316618,25146,37723,3505,213,290,364,825,807,1574100,974148,2104
"TIARINBLATE",315988,7979,28368,4093,198,344,288,20,357,814800,423608,3056
"FRIDAY",315910,19983,48400,1884,290,812,572,498,1294,1809900,898012,3542
"CRAY",314394,16202,31710,2520,555,468,228,231,321,1354500,534133,2067
"YAKURUTO",314263,24978,60999,15002,159,774,1095,203,1685,2097700,806220,6380
"WARBRAND2",313765,23591,45135,4507,226,754,566,774,950,2002800,864126,2647
"ONONYMOUS",312108,10045,25114,1632,232,238,105,92,407,874600,443726,1546
"ELYSIUM",311033,19027,69846,1359,1528,478,192,38,469,910600,678218,3445
"DEADSOULS19",310582,10660,29399,2037,448,454,270,21,1265,949800,756126,3760
"FOREFOX",307824,11111,28831,1485,332,441,438,199,468,901500,356506,1240
"WHITEFLAW",306095,18597,38489,967,326,750,532,228,1018,1569000,833038,2030
"FREEZ",305770,17779,41788,3644,493,722,211,109,1576,1480500,837927,2517
"SESH",305067,25134,71984,13791,132,247,466,72,619,1487000,1946285,3291
"BANANA.RAR",304033,17864,35268,3674,334,485,244,247,720,1072800,623902,2253
"CHARLESTONE",302845,12711,47688,1689,326,350,525,133,539,1079200,519746,3146
"MININGBOY1989",301134,14667,37876,3623,286,906,426,48,1078,1087700,385748,3546
"QIYUAN",300529,21947,43682,1834,421,465,326,52,745,1395700,1396254,1339
"GUNSUP!",299689,18730,44828,5288,245,804,621,143,1498,1739900,774695,7805
"PROSKILLS",299077,15646,40241,6515,593,641,420,86,1253,1106600,623238,5031
